Order_ID,Order_Date,Region,Product_Category,Customer_Type,Units_Sold,Unit_Price,Discount,Advertising_Spend,Revenue,Profit,Customer_Satisfaction
ORD-0054,2025-03-19,West,Furniture,Returning,28,344.2,0.164,39181.21,9792.11,-61.68,3.42
ORD-0055,2025-03-20,East,Office Supplies,VIP,20,48.77,0.078,49462.95,929.44,-1193.54,3.3
ORD-0056,2025-03-22,West,Office Supplies,Returning,20,116.14,0.186,45558.32,1965.49,347.69,2.73
ORD-0057,2025-03-23,North,Furniture,New,5,316.85,0.204,34325.06,1168.96,1056.4,3.17
ORD-0058,2025-03-25,North,Electronics,New,5,524.12,0.154,19132.74,2124.65,-136.43,2.87
ORD-0059,2025-03-26,North,Office Supplies,Returning,27,110.24,0.172,16444.49,2549.66,841.05,3.04
ORD-0060,2025-03-28,South,Electronics,Returning,12,687.17,0.094,41866.48,7430.75,1447.48,4.08
ORD-0061,2025-03-29,South,Furniture,Returning,28,329.76,0.135,44591.99,7703.07,-1445.84,3.22
ORD-0062,2025-03-31,North,Electronics,New,6,724.59,0.131,28644.57,4075.44,-76.48,2.8
ORD-0063,2025-04-01,West,Electronics,New,21,594.59,0.212,15995.3,9753.33,1360.92,3.85
ORD-0064,2025-04-03,South,Office Supplies,New,12,59.44,0.21,10082.44,402.42,1332.91,3.66
ORD-0065,2025-04-04,South,Office Supplies,New,11,64.44,0.208,8923.08,495.59,-1687.82,3.61
ORD-0066,2025-04-06,East,Furniture,Returning,9,404.64,0.003,37358.49,3884.2,-2065.92,2.25
ORD-0067,2025-04-07,North,Furniture,Returning,7,469.26,0.187,23905.34,2819.56,-624.73,4.06
ORD-0068,2025-04-08,West,Electronics,Returning,7,601.88,0.19,45741.19,4043.77,-1297.99,2.92
ORD-0069,2025-04-10,North,Electronics,VIP,9,614.92,0.17,38285.21,5350.34,168.85,3.55
ORD-0070,2025-04-11,West,Electronics,New,24,565.95,0.189,13606.72,11650.08,1487.26,4.37
ORD-0071,2025-04-13,West,Furniture,Returning,16,291.93,0.21,32619.98,5253.54,-827.66,4.15
ORD-0072,2025-04-14,North,Office Supplies,Returning,27,51.08,0.118,24597.75,1180.27,-410.87,2.75
ORD-0073,2025-04-16,North,Furniture,Returning,15,434.85,0.126,30976.24,6197.84,104.69,2.55
ORD-0074,2025-04-17,West,Electronics,Returning,12,415.71,0.031,38213.11,5376.93,1109.54,3.87
ORD-0075,2025-04-19,East,Office Supplies,VIP,13,56.07,0.096,41278.81,765.59,-1653.85,3.22
ORD-0076,2025-04-20,East,Office Supplies,VIP,27,85.27,0.161,42968.18,2514.68,-1954.92,2.93
ORD-0077,2025-04-22,West,Furniture,New,14,489.48,0.195,16428.87,5931.04,852.4,3.5
ORD-0078,2025-04-23,North,Furniture,VIP,9,266.08,0.054,6400.2,3083.03,616.48,3.14
ORD-0079,2025-04-25,South,Furniture,Returning,19,271.73,0.034,38268.26,4986.92,-2644.13,3.45
ORD-0080,2025-04-26,North,Electronics,New,26,424.14,0.166,9785.47,8171.67,623.72,3.25
ORD-0081,2025-04-27,West,Electronics,Returning,2,295.68,0.0,19171.38,633.42,-965.44,3.5
ORD-0082,2025-04-29,East,Office Supplies,VIP,16,94.04,0.045,5171.77,1832.66,-382.05,2.79
ORD-0083,2025-04-30,South,Electronics,Returning,9,424.49,0.007,35675.13,3835.9,142.69,3.84
ORD-0084,2025-05-02,North,Electronics,New,29,336.33,0.042,12520.94,10220.21,163.46,3.52
ORD-0085,2025-05-03,South,Electronics,Returning,12,642.16,0.045,34487.71,7512.95,90.17,
ORD-0086,2025-05-05,South,Electronics,New,13,742.15,0.097,49628.42,6893.73,-1585.15,2.66
ORD-0087,2025-05-06,East,Office Supplies,New,13,51.1,0.101,8270.19,537.02,-136.73,3.96
ORD-0088,2025-05-08,East,Office Supplies,New,5,44.45,0.219,8468.51,170.25,112.47,
ORD-0089,2025-05-09,West,Furniture,New,17,285.95,,20317.1,4616.02,-1624.81,3.49
ORD-0090,2025-05-11,South,Electronics,New,5,470.93,0.181,43987.39,1800.78,-1726.72,3.01
ORD-0091,2025-05-12,North,Furniture,New,6,267.01,0.026,14698.84,1420.39,2343.46,3.38
ORD-0092,2025-05-14,East,Furniture,Returning,25,187.04,0.056,21217.0,4273.39,-1963.18,3.28
ORD-0093,2025-05-15,West,Electronics,New,6,445.77,0.176,8082.74,2236.39,-169.12,1.93
ORD-0094,2025-05-16,East,Furniture,New,9,266.41,0.013,39341.99,2476.57,-32.88,3.46
ORD-0095,2025-05-18,West,Electronics,VIP,11,704.14,0.122,23373.79,8488.8,462.33,4.1
ORD-0096,2025-05-19,South,Furniture,Returning,18,278.02,0.15,39166.19,4397.51,-242.25,3.44
ORD-0097,2025-05-21,East,Furniture,Returning,29,410.76,0.151,45662.35,11225.56,-2863.55,2.7
ORD-0098,2025-05-22,South,Electronics,New,27,714.16,0.006,15474.34,17771.12,3116.33,3.57
ORD-0099,2025-05-24,North,Electronics,New,10,712.58,0.081,41332.82,7373.11,-1802.81,3.63
ORD-0100,2025-05-25,North,Furniture,New,23,426.42,0.159,7659.23,9219.47,1835.09,3.48
ORD-0101,2025-05-27,North,Furniture,New,20,376.18,0.037,45448.13,6856.48,-725.6,3.15
ORD-0102,2025-05-28,East,Office Supplies,New,30,60.64,0.174,34284.58,1173.39,1320.75,3.12
ORD-0103,2025-05-30,South,Furniture,New,15,267.24,0.186,44340.2,2697.09,-1039.09,3.06
ORD-0104,2025-05-31,South,Electronics,New,9,485.87,0.245,5008.48,2902.97,-40.84,3.51
ORD-0105,2025-06-02,West,Electronics,New,10,315.7,0.052,12608.65,2994.61,-1941.96,2.52
ORD-0106,2025-06-03,North,Furniture,Returning,23,176.52,0.206,22539.17,4231.0,-184.04,3.03
ORD-0107,2025-06-04,South,Electronics,New,12,592.9,0.13,22077.63,5418.11,683.16,3.94
ORD-0108,2025-06-06,West,Furniture,New,24,335.14,0.093,15202.87,7910.33,857.76,3.96
ORD-0109,2025-06-07,North,Office Supplies,Returning,2,101.23,0.031,22172.54,226.33,-1649.27,2.49
ORD-0110,2025-06-09,North,Furniture,Returning,15,190.96,0.184,10798.19,2577.01,-727.07,2.67
ORD-0111,2025-06-10,South,Electronics,New,6,712.82,0.059,23574.25,2975.86,-44.78,3.08
ORD-0112,2025-06-12,North,Furniture,Returning,22,117.21,0.093,41105.94,2635.63,-572.76,3.59
ORD-0113,2025-06-13,West,Furniture,Returning,27,260.84,0.016,26558.15,10271.5,2729.62,2.45
ORD-0114,2025-06-15,West,Furniture,New,15,349.8,0.2,5810.0,3894.65,-744.52,3.16
ORD-0115,2025-06-16,East,Office Supplies,VIP,5,112.16,0.192,23964.98,466.2,-449.59,2.98
ORD-0116,2025-06-18,West,Electronics,VIP,23,705.69,0.183,6222.88,20240.05,2260.04,3.85
ORD-0117,2025-06-19,West,Office Supplies,New,24,126.9,0.075,48480.95,3075.24,-1669.82,2.4
ORD-0118,2025-06-21,North,Office Supplies,New,26,117.09,0.043,10735.43,2938.18,795.29,3.26
ORD-0119,2025-06-22,West,Electronics,Returning,2,672.27,0.159,36845.97,1474.73,-1146.28,2.99
ORD-0120,2025-06-23,East,Electronics,Returning,23,543.99,0.124,48774.93,10957.56,-171.55,3.86
ORD-0121,2025-06-25,West,Electronics,New,24,246.48,0.045,42171.76,5771.41,-2403.63,3.41
ORD-0122,2025-06-26,West,Electronics,New,20,705.78,0.171,36469.19,12978.94,-941.87,2.91
ORD-0123,2025-06-28,South,Electronics,New,9,723.3,0.248,42775.74,5000.82,234.35,3.59
ORD-0124,2025-06-29,North,Furniture,Returning,16,288.84,0.187,49180.94,3862.39,-1977.33,2.98
ORD-0125,2025-07-01,North,Electronics,Returning,22,571.05,0.185,32960.5,12800.6,431.27,3.66
ORD-0126,2025-07-02,South,Electronics,New,16,716.63,0.238,30163.32,7869.55,705.71,3.11
ORD-0127,2025-07-04,West,Office Supplies,Returning,10,71.95,0.051,33270.71,813.4,-873.75,3.65
ORD-0128,2025-07-05,West,Electronics,Returning,22,650.33,0.141,28970.41,14443.97,1298.07,3.43
ORD-0129,2025-07-07,North,Office Supplies,New,10,112.81,0.245,33579.01,752.52,-425.79,4.66
ORD-0130,2025-07-08,South,Electronics,New,11,637.55,0.041,25242.9,6330.94,-2727.46,3.11
ORD-0131,2025-07-10,South,Electronics,Returning,21,523.83,0.175,14829.94,8486.1,-173.21,3.37
ORD-0132,2025-07-11,North,Furniture,VIP,26,169.9,0.146,10411.13,4392.43,935.63,3.01
ORD-0133,2025-07-12,North,Furniture,Returning,22,437.34,0.147,8075.34,9966.17,3287.03,3.28
ORD-0134,2025-07-14,South,Office Supplies,Returning,27,98.79,0.174,16849.21,2336.42,-163.85,1.98
ORD-0135,2025-07-15,West,Office Supplies,New,10,113.77,0.232,7075.56,906.0,-1148.19,3.38
ORD-0136,2025-07-17,South,Office Supplies,Returning,4,20.0,0.196,30522.69,100.0,-2482.74,3.74
ORD-0137,2025-07-18,South,Electronics,Returning,21,547.09,0.014,17772.28,12588.67,2393.92,3.44
ORD-0138,2025-07-20,East,Electronics,New,26,483.37,0.213,42104.07,10252.89,-1066.98,2.58
ORD-0139,2025-07-21,South,Office Supplies,New,27,79.7,0.056,8340.84,1700.37,60.62,2.84
ORD-0140,2025-07-23,West,Office Supplies,New,12,97.54,0.094,15185.82,1181.37,305.39,2.11
ORD-0141,2025-07-24,West,Office Supplies,New,7,106.44,0.115,37861.08,690.93,-5187.47,3.51
ORD-0142,2025-07-26,North,Furniture,New,3,252.8,0.12,31946.37,754.68,961.61,2.77
ORD-0143,2025-07-27,South,Electronics,New,8,584.44,0.109,7902.11,3604.93,-721.74,3.17
ORD-0144,2025-07-29,South,Office Supplies,New,19,105.82,0.234,44475.78,1307.61,-1617.68,3.09
ORD-0145,2025-07-30,South,Electronics,New,28,326.64,0.177,44476.78,6255.6,-3420.28,3.78
ORD-0146,2025-07-31,North,Office Supplies,VIP,3,84.23,0.158,19868.36,275.26,-1428.76,3.2
ORD-0147,2025-08-02,East,Office Supplies,Returning,28,57.19,0.012,20318.26,1757.79,999.78,3.59
ORD-0148,2025-08-03,South,Furniture,Returning,18,195.63,0.226,49506.28,2824.36,-4256.44,3.34
ORD-0149,2025-08-05,North,Office Supplies,Returning,12,56.72,0.227,33177.93,613.3,-158.27,3.81
ORD-0150,2025-08-06,North,Office Supplies,Returning,28,96.96,0.195,28909.24,2611.33,-1117.8,3.06
ORD-0151,2025-08-08,West,Electronics,New,13,520.59,0.002,42716.85,6835.58,-324.26,4.03
ORD-0152,2025-08-09,North,Office Supplies,Returning,28,52.99,0.014,17838.07,1543.27,354.71,2.32
ORD-0153,2025-08-11,North,Furniture,Returning,20,356.58,0.056,24313.22,7048.08,906.91,3.61
ORD-0154,2025-08-12,South,Office Supplies,Returning,23,124.36,0.033,17049.95,2974.13,-1022.74,2.78
ORD-0155,2025-08-14,West,Electronics,Returning,25,582.88,0.1,40512.24,16003.33,17.45,2.98
ORD-0156,2025-08-15,North,Office Supplies,New,26,46.48,0.231,30800.72,786.21,-3103.44,3.38
ORD-0157,2025-08-17,East,Electronics,New,8,579.22,0.118,34647.13,4171.72,-514.36,3.44
ORD-0158,2025-08-18,West,Electronics,New,21,661.37,0.003,16353.83,16414.51,4167.08,3.58
ORD-0159,2025-08-19,North,Office Supplies,Returning,7,103.71,0.071,14910.14,721.02,-2731.33,2.51
ORD-0160,2025-08-21,East,Electronics,Returning,22,556.52,0.011,26976.86,13317.2,97.66,3.85
ORD-0161,2025-08-22,South,Electronics,New,25,686.58,0.009,38190.46,14303.66,414.82,2.81
ORD-0162,2025-08-24,East,Office Supplies,VIP,2,123.71,0.069,28635.79,291.18,-1141.45,2.83
ORD-0163,2025-08-25,East,Office Supplies,Returning,18,71.67,0.069,6469.06,1166.41,1061.36,3.51
ORD-0164,2025-08-27,East,Furniture,New,30,257.06,0.197,44084.82,5777.92,-1284.74,3.04
ORD-0165,2025-08-28,North,Furniture,New,12,437.26,0.244,7910.91,4250.86,-13.79,3.34
ORD-0166,2025-08-30,West,Furniture,New,23,361.75,0.093,48012.1,8544.59,775.19,
ORD-0167,2025-08-31,South,Electronics,New,27,611.83,0.107,6131.39,13333.07,2531.12,3.39
ORD-0168,2025-09-02,North,Electronics,New,29,693.3,0.211,36250.27,15334.39,785.56,3.32
ORD-0169,2025-09-03,North,Furniture,New,19,176.44,0.067,8699.32,2711.83,305.47,2.98
ORD-0170,2025-09-05,East,Office Supplies,New,22,106.84,0.039,45980.45,1991.19,-541.3,2.25
ORD-0171,2025-09-06,East,Office Supplies,New,18,132.86,0.213,25899.5,1699.89,-1663.1,3.06
ORD-0172,2025-09-07,North,Office Supplies,VIP,8,63.52,0.012,11188.57,604.07,-1331.25,3.15
ORD-0173,2025-09-09,South,Electronics,New,18,563.04,0.155,20336.71,7520.46,940.75,3.06
ORD-0174,2025-09-10,North,Furniture,Returning,21,307.34,0.14,12417.11,6122.27,-1315.83,2.34
ORD-0175,2025-09-12,East,Electronics,Returning,10,570.36,0.086,12676.19,5660.08,373.93,3.93
ORD-0176,2025-09-13,North,Furniture,VIP,18,309.65,0.079,47664.87,7171.32,-1183.63,2.88
ORD-0177,2025-09-15,East,Furniture,New,21,268.45,0.193,25036.08,4130.3,-2146.72,3.05
ORD-0178,2025-09-16,South,Office Supplies,Returning,23,87.45,0.022,40496.1,1745.2,-2628.36,2.05
ORD-0179,2025-09-18,West,Electronics,VIP,23,715.39,0.059,33782.25,19313.96,1371.75,3.95
ORD-0180,2025-09-19,North,Electronics,VIP,29,632.03,0.183,35439.19,19974.71,2150.4,3.04
ORD-0181,2025-09-21,South,Electronics,Returning,30,534.03,0.137,10926.2,14539.54,789.28,3.26
ORD-0182,2025-09-22,North,Office Supplies,New,9,80.4,0.032,15538.3,718.56,888.96,3.73
ORD-0183,2025-09-24,West,Furniture,New,18,295.87,0.221,40403.77,4719.64,-1072.42,2.87
ORD-0184,2025-09-25,West,Electronics,Returning,8,464.07,0.098,48684.48,3879.42,-258.51,3.63
ORD-0185,2025-09-26,North,Electronics,VIP,2,477.44,0.207,16820.4,1123.44,-1422.33,2.24
ORD-0186,2025-09-28,East,Office Supplies,Returning,14,60.16,0.197,17220.59,771.75,-726.08,3.43
ORD-0187,2025-09-29,West,Electronics,Returning,24,610.81,0.156,26280.37,11612.74,765.56,3.93
ORD-0188,2025-10-01,East,Office Supplies,New,20,77.66,0.124,49272.81,1460.63,-2286.14,2.88
ORD-0189,2025-10-02,East,Office Supplies,Returning,28,60.14,0.245,17103.15,1278.06,593.61,3.72
ORD-0190,2025-10-04,North,Electronics,New,25,666.98,0.036,23313.74,14650.11,-1309.59,3.99
ORD-0191,2025-10-05,North,Electronics,New,20,521.75,0.181,45116.6,8847.3,1843.23,3.13
ORD-0192,2025-10-07,West,Office Supplies,Returning,30,70.94,0.048,5131.45,2051.43,1363.57,3.08
ORD-0193,2025-10-08,West,Electronics,Returning,18,616.13,0.085,6789.47,11269.66,1241.35,2.83
ORD-0194,2025-10-10,East,Electronics,New,14,554.67,0.077,32183.23,7563.7,-1056.08,2.94
ORD-0195,2025-10-11,South,Office Supplies,New,30,72.83,0.237,45832.11,1521.8,-2964.94,2.76
ORD-0196,2025-10-13,South,Office Supplies,Returning,17,78.54,0.242,15748.55,1075.2,244.82,2.8
ORD-0197,2025-10-14,East,Office Supplies,New,9,108.31,0.046,26133.88,826.79,125.81,3.74
ORD-0198,2025-10-15,West,Office Supplies,Returning,20,59.04,0.006,25270.94,1210.47,-1097.25,2.82
ORD-0199,2025-10-17,West,Electronics,New,19,615.36,0.18,26283.71,10437.36,1423.25,3.35
ORD-0200,2025-10-18,West,Electronics,Returning,2,792.03,0.104,33013.39,1793.33,-2463.21,3.16
ORD-0201,2025-10-20,East,Office Supplies,Returning,15,82.32,0.022,26138.47,1384.99,-2199.62,3.82
ORD-0202,2025-10-21,North,Furniture,New,20,237.17,0.171,25136.07,3972.49,1702.78,3.02
ORD-0203,2025-10-23,North,Furniture,New,16,372.12,0.136,26342.98,4715.8,363.64,3.38
ORD-0204,2025-10-24,West,Office Supplies,New,19,71.73,0.245,31589.03,1267.07,399.28,3.57
ORD-0205,2025-10-26,East,Electronics,New,3,473.46,0.057,29165.34,1305.15,-2266.67,3.81
ORD-0206,2025-10-27,North,Furniture,VIP,23,360.23,0.101,43436.12,9360.29,-1269.91,2.94
ORD-0207,2025-10-29,North,Electronics,New,29,494.26,0.136,7227.36,12138.09,980.46,2.95
ORD-0208,2025-10-30,East,Furniture,Returning,18,375.85,0.198,42499.27,5880.61,-1993.58,2.67
ORD-0209,2025-11-01,North,Electronics,New,19,588.14,0.137,42976.61,10401.87,213.68,4.21
ORD-0210,2025-11-02,North,Electronics,Returning,7,474.46,0.153,17820.86,3238.41,-1333.35,3.79
ORD-0211,2025-11-03,East,Electronics,Returning,20,573.38,0.057,25828.34,12377.23,-645.89,3.16
ORD-0212,2025-11-05,East,Furniture,Returning,5,183.04,0.212,24734.23,781.72,-920.11,4.05
ORD-0213,2025-11-06,East,Office Supplies,Returning,2,52.26,0.107,14832.94,100.0,-2262.31,3.1
ORD-0214,2025-11-08,North,Furniture,Returning,9,462.27,0.035,22855.86,4786.34,-2195.31,3.47
ORD-0215,2025-11-09,East,Office Supplies,New,30,86.91,0.166,6997.45,2138.91,362.94,3.21
ORD-0216,2025-11-11,North,Electronics,VIP,24,626.67,0.054,17501.99,17885.9,3.84,3.38
ORD-0217,2025-11-12,South,Electronics,Returning,8,738.08,0.024,,5403.95,-216.91,3.33
ORD-0218,2025-11-14,West,Office Supplies,VIP,4,96.48,0.215,17805.3,411.32,-2463.38,2.95
ORD-0219,2025-11-15,East,Electronics,New,11,456.15,0.115,41819.3,4193.18,-4145.56,3.59
ORD-0220,2025-11-17,West,Office Supplies,Returning,11,120.69,0.187,28921.98,1212.99,-1491.47,3.48
ORD-0221,2025-11-18,East,Electronics,VIP,20,520.21,0.073,44593.82,10826.01,-305.07,3.65
ORD-0222,2025-11-20,East,Office Supplies,New,15,92.35,0.197,30865.08,1078.16,-683.14,3.33
ORD-0223,2025-11-21,North,Electronics,New,3,431.06,0.028,6335.07,1303.88,115.24,2.79
ORD-0224,2025-11-22,South,Office Supplies,Returning,29,76.44,0.089,35393.91,1956.27,-2497.52,3.91
ORD-0225,2025-11-24,North,Furniture,Returning,2,551.36,0.245,7018.41,900.31,665.68,3.1
ORD-0226,2025-11-25,North,Office Supplies,Returning,24,33.2,0.198,25276.87,676.59,57.81,3.37
ORD-0227,2025-11-27,West,Electronics,New,24,692.37,0.124,46824.2,15457.49,-1484.96,3.45
ORD-0228,2025-11-28,South,Furniture,Returning,29,313.68,0.085,12434.18,7768.62,860.47,3.38
ORD-0229,2025-11-30,West,Office Supplies,New,19,121.38,0.218,22544.26,2191.46,-918.54,3.59
ORD-0230,2025-12-01,East,Furniture,New,8,257.35,0.136,37843.71,1614.45,-1295.15,3.65
ORD-0231,2025-12-03,West,Furniture,New,30,429.95,0.19,44701.64,8676.74,-810.72,3.08
ORD-0232,2025-12-04,South,Furniture,Returning,9,326.01,0.189,35192.44,2367.87,-1384.67,3.9
ORD-0233,2025-12-06,East,Furniture,Returning,2,314.35,0.004,16617.8,666.73,98.64,3.08
ORD-0234,2025-12-07,South,Furniture,Returning,26,445.66,0.032,35357.35,12183.46,-277.93,3.34
ORD-0235,2025-12-09,North,Furniture,New,24,278.35,0.165,18352.74,5670.23,1094.17,3.05
ORD-0236,2025-12-10,East,Office Supplies,VIP,4,96.14,0.04,37329.32,414.72,-376.84,2.89
ORD-0237,2025-12-11,South,Electronics,Returning,25,466.55,0.064,47931.49,10640.46,1309.42,3.7
ORD-0238,2025-12-13,North,Electronics,Returning,24,545.01,,37462.71,11614.05,-3042.78,4.53
ORD-0239,2025-12-14,East,Office Supplies,Returning,28,114.05,0.14,43829.62,2432.05,-1766.47,2.99
ORD-0240,2025-12-16,North,Office Supplies,New,30,88.68,0.188,5094.67,2376.24,-2011.67,3.7
ORD-0241,2025-12-17,West,Furniture,Returning,9,188.2,0.139,37290.75,1600.98,-4458.01,2.94
ORD-0242,2025-12-19,West,Furniture,New,23,292.38,0.138,42331.44,6650.07,-577.07,3.18
ORD-0243,2025-12-20,West,Electronics,Returning,26,686.39,0.024,6825.14,21126.57,2855.78,4.06
ORD-0244,2025-12-22,South,Electronics,Returning,16,495.16,0.086,44221.9,7586.99,-648.74,2.7
ORD-0245,2025-12-23,North,Furniture,New,6,463.93,0.071,16551.24,2805.69,379.36,2.61
ORD-0246,2025-12-25,West,Electronics,VIP,4,403.01,0.098,34938.14,2009.79,63.09,3.16
ORD-0247,2025-12-26,South,Furniture,Returning,20,304.62,0.2,41015.97,5123.51,-1012.63,3.47
ORD-0248,2025-12-28,West,Electronics,Returning,2,689.91,0.093,34819.9,1452.4,1994.7,3.46
ORD-0249,2025-12-29,West,Office Supplies,VIP,29,95.75,0.113,9152.82,3351.95,820.94,3.38
ORD-0250,2025-12-31,West,Office Supplies,Returning,16,67.29,0.099,31834.47,1087.2,918.5,3.24
